"ID","SerialNumber","TimestampUTC","Sender","QuestionText","ReplyCount","EmojiCount","AnswerCount"
"D23A8FE5C819E3EED8755A8836323428","1","2025-04-01T09:48:15.000Z","Unknown Member","מי מגיע לחתונה הערב?","0","0","6"
"4D42E2B9631D04FF7081FA895B66AE51","5","2025-04-01T10:09:55.000Z","Unknown Member","??","0","0","10"
"FDD14119BF48701F0D851EE05B7CF242","6","2025-04-01T10:10:15.000Z","Unknown Member","???","0","0","6"
"E00BBE949A803579DC476EA0F0B98F65","31","2025-04-08T08:33:00.000Z","Unknown Member","בת כמה היא?","1","0","0"
"3A512401438F81495855","42","2025-04-10T10:10:36.000Z","972502266114","מי טוב בדברים האלה ויכול לנחש כל תמונה איזו מדינה או עיר היא מתארת ?","0","0","10"
"40D6E3F0FBAFEED5DF1C7E607DCF2C5F","159","2025-04-30T06:46:34.000Z","Unknown Member","מי מתכוון להגיע להר הרצל?","0","0","1"
"5E3553D1DD882F11596B8BD693D01FE5","223","2025-06-08T13:35:00.000Z","meirezra112","מי יכול להגיע מחר להר המנוחות?","0","0","10"
"2A183A0153661A8F0AE667D5D086B81B","224","2025-06-08T14:49:39.000Z","טובה","באיזו שעה?","0","0","6"
"8C90E80D871EE9A56D32F6C7C9F30DC8","233","2025-06-08T17:31:05.000Z","meirezra112","גם כשעבדתי, והיו לי דברים חשובים שם, עשיתי הכל גם כשהבוסים ביקשו לא לצאת בגלל משימות או ישיבות. ואתה מה הקטע? אתה 10 דקו","0","0","1"
"5C6074F266CBCA2B03A945D07AD431CD","237","2025-06-13T01:07:44.000Z","Nira","כולם רגועים?","0","0","5"
